Filename                                              Regions  Missed Regions    Cover  Functions  Missed Functions  Executed  Lines  Missed Lines    Cover  Branches  Missed Branches  Cover
orderbook\src\types\quote.rs                              326              56   82.82%         52                 9    82.69%    335            52   84.48%         0                0      -
sdk\src\lib.rs                                             50              14   72.00%          4                 1    75.00%     26             8   69.23%         0                0      -
signing\src\cache.rs                                       85               4   95.29%         15                 1    93.33%     73             4   94.52%         0                0      -
signing\src\cancellation.rs                                88              15   82.95%         12                 2    83.33%     90             8   91.11%         0                0      -
signing\src\domain.rs                                     189               7   96.30%         19                 1    94.74%    126             1   99.21%         0                0      -
signing\src\eip1271\error.rs                                5               5    0.00%          1                 1     0.00%      6             6    0.00%         0                0      -
signing\src\eip1271\sol_types.rs                            1               1    0.00%          1                 1     0.00%      1             1    0.00%         0                0      -
signing\src\errors.rs                                      11               7   36.36%          2                 1    50.00%      9             5   44.44%         0                0      -
signing\src\order_signing.rs                              305              36   88.20%         31                 5    83.87%    271            20   92.62%         0                0      -
subgraph\src\api.rs                                       352              70   80.11%         54                 9    83.33%    353            63   82.15%         0                0      -
subgraph\src\builder.rs                                   167              25   85.03%         16                 2    87.50%    143            18   87.41%         0                0      -
subgraph\src\error.rs                                     242              39   83.88%         11                 0   100.00%    118            10   91.53%         0                0      -
subgraph\src\types.rs                                     154              12   92.21%         26                 2    92.31%    132             7   94.70%         0                0      -
test-utils\src\arb.rs                                      48               2   95.83%          9                 0   100.00%     32             2   93.75%         0                0      -
test-utils\src\builders.rs                                103              13   87.38%         15                 2    86.67%     86             9   89.53%         0                0      -
test-utils\src\eip712.rs                                   85               1   98.82%         10                 0   100.00%     51             0  100.00%         0                0      -
test-utils\src\fixtures.rs                                 66              12   81.82%         15                 8    46.67%     51             8   84.31%         0                0      -
test-utils\src\mocks.rs                                   119              29   75.63%         29                12    58.62%    109            28   74.31%         0                0      -
test-utils\src\trace.rs                                   270              10   96.30%         33                 2    93.94%    202             5   97.52%         0                0      -
test\src\defaults.rs                                       42               0  100.00%          9                 0   100.00%     38             0  100.00%         0                0      -
test\src\error.rs                                          35              18   48.57%          7                 3    57.14%     28            11   60.71%         0                0      -
test\src\lib.rs                                            29               1   96.55%          1                 0   100.00%     17             0  100.00%         0                0      -
test\src\orderbook.rs                                      86              23   73.26%         20                 5    75.00%     77            19   75.32%         0                0      -
test\src\provider.rs                                      138              57   58.70%         32                15    53.12%    130            52   60.00%         0                0      -
test\src\signer.rs                                        140              69   50.71%         28                16    42.86%    122            58   52.46%         0                0      -
trading\src\allowance.rs                                  106              20   81.13%         13                 3    76.92%     94            14   85.11%         0                0      -
trading\src\app_data.rs                                   187               8   95.72%         12                 1    91.67%    109             2   98.17%         0                0      -
